Emp_id,Full-Name,Location,Designation,Batch,Gender,Phone
1000,Naresh,Delhi,Professor,1999,Male,741852963
1001,Suresh,Mumbai,Assistant Professor,2000,Male,741852964
1002,Arun,Kolk?ta,Professor,2001,Male,741852965
1003,Sasi,Bangalore,Assistant Professor,2002,Male,741852966
1004,Yaswanth,Chennai,Professor,2003,Male,741852967
1005,Vinod,Hyder?b?d,Assistant Professor,2004,Male,741852968
1006,Ganesh,Pune,Professor,2005,Male,741852969
1007,Santhosh,Ahmedabad,Assistant Professor,2006,Male,741852970
1008,Neeraj,S?rat,Professor,2007,Male,741852971
1009,Raju,Lucknow,Assistant Professor,2008,Male,741852972
1010,Pavan,Jaipur,Professor,2009,Male,741852973
1011,Ram sai,Cawnpore,Assistant Professor,2010,Male,741852974
1012,Krishna,Mirz?pur,Professor,2011,Male,741852975
1013,Jayanth,N?gpur,Assistant Professor,2012,Male,741852976
1014,Arjun,Gh?zi?b?d,Professor,2013,Male,741852977
1015,Kiran,Indore,Assistant Professor,2014,Male,741852978
1016,Deepak,Vadodara,Professor,2015,Male,741852979
1017,Naveen,Vish?khapatnam,Assistant Professor,2016,Male,741852980
1018,Kumar,Bhop?l,Professor,2017,Male,741852981
1019,Priya,Chinchvad,Assistant Professor,2018,Female,741852982
1020,Sriyaa,Patna,Professor,2019,Female,741852983
1021,Vyshanavi,Ludhi?na,Assistant Professor,2020,Female,741852984
1022,Kansha,?gra,Professor,2021,Female,741852985
1023,Ajay,Kaly?n,Assistant Professor,2022,Male,741852986
